,Exemplar,Cluster
0,Gum," 1p,  Refectory Tea, *Classic Sandwich Range, 175ML NINA ZINFANDEL, 5 ITEM BREAKFAST, 5 Item Breakfast FOR BURY TILL, 75CL VALDEMOREDA MACABEO, ?5 special, APEROL SPRITZ, AlBalSPooMgo350, AlBalSpooRas350, BACON, BRITVIC TONIC MIXER, BULLEIT BOURBON, Bacardi + bottle , Baked beans, Be-Kind Cereal Bar 40g, Beavertown Bones half, Beef & Onion Pie, Beef Chilli, Belgian Choc, Breakfast Roll, CC bacon panini, CHIO ROSE SPUMANTE, CONF Twix, COSTA P ICE LAT, CRANBERRY JUICE MIXER, Carlsberg Pint, Cheese, Cheese Pot, Cheese and Onion Toastie, Chicken Sandwich, Chips, Chips-standard, Chocolate Bar, Coleslaw Portion Pot, Concession Single, Costa Can Latte , Croissant, Dash Coke Zero , Diet Coke Can, Egg, Egg & Cress Sandwich, Egg Fried rice, English Cake, Extra Breakfast Protein, Extra Hash Brown, F/Tree TONIC, FUEL10K Chocolate Porridge Pot , Fanta, Fanta Half, Festive Hog Roast, Fish Pie, Fizzy Drinks/San Pellegrino, Flat White, Gum, HM cake 1.30, Howling Pint, Italian Pasta Bar Meat HO, Jacket & Hot Filling, Jacket Potato Cheese & Beans, Kopparberg Half Pint, LEMONADE 1/2 PINT, LIVESTATION BURRITO, La Maglia Rosa Btl, Latte 16oz, MONSTER COOKIE DOUBLE CHOC, MOULIN DE MALLET BTL, Macchiato S, Mahashi Mix , Main Dish +Salad +Lacnor, Marybake Spotty Cookie, McCoys - Salt & Vinegar, Mince & Onion Pie & Chips, Mini Snack, Monster Can, No.1 Sandwich Tayto T/C, Onion Rings, Open, Orange, Orchard Thieves (Pint), PF Hoody Forest L, PROMO - Pastry & FREE COFFEE, Pasta Bolognaise, Pasta Large , Patron XO Sgl, Peach & Vanilla Bircher Pot 8oz, Pierre et Papa Rose, Pop-corn, Poriddge with Shredded Carrot, Pringles Salt & Vinegar, RHUBARB & CUSTARD BAVAROIS, RUBICON RAW, Real Crisp Salt & Black Pepper, Rice/Pasta/Noodles, Roll 2.40, SML Flat Black, SOUP Starter, SPECIALITY TEA COSTA, Sandwich White, Save The Bees Poo Bag, Side Leaf Salad, Single Serve Chardonnay, Skittles Wild Berry, Snooker 6-11, Soho New York Deli, Soy Milk, Sparkling water, Strawberry Tea, Sweet Potato Fries Stock, T/A Side Salad, Tangle Foot Btl, Taylors Landlord, Thirsty Planet Sparkling, Tikka Spiced Folded Naan , Tinga Wrap, Toasted Tea Cake, Trek Power, Twix Offer, VK O&P PET, Vegetarian Cottage Pie HO, Vegeterian Panini, Veggie Breakfast, Vinegar Portion, Vitaene C, Wax Cheese Large, Wicked Cake, Wild Berry Skittles, Wispa Chocolate Bar, Yellows Crackles, Yellows Main BBQ Ribs , crisps £1.00"
1,7UP,"*1x Scoop Vanilla, 1 x Cookie , 1/2 Caledonia Best, 12oz Hot Water & Cup, 16. Tokomaru Bay, 16oz Americano, 20% Discount , 250ML SANTA ALEGRA CHARDONNAY, 7UP, 8OZ Blueberry Banana Bircher Vegan, 8OZ Vegan Apricot Topped Yoghurt, 8oz Americano, 8oz Americano , Additional Item - Breakfast Muffin, Aero Mint , Aftershock, All Day Breakfast, Alternative milk, Americano, Americano - regular, Americano Tall, Arran Ice Cream Tub, BBQ Chicken Baguette, BE-kind, BK Curry Sauce, BK Gravy, BREAKFAST COB, BROOKLYN GIN & LEMONADE, BSBlack150ml, Bacardi Double, Baked Beans Hudd, Baked beans, Balfour Leslie, Banana & Walnut Loaf, Becks Blue, Beetroot Burger, Belvita Honey and Nuts, Biscuits- Oat & Honey, Bollinger Rose, Bounty Milk, Brakes Fresh Skimmed Milk, Brie & Cranberry Sandwich, Britvic Orange, Burts Mature Cheddar & Spring Onion, CARLING HALF, CC Tomato mozerella and basil bake, CHEESE SANDWICH, Cadbury Twirl Chocolate, Cajun Chicken Toastie, Cake A, Cappucino 16oz, Capri Sun Orange 200ml, Carling Half, Carrot Cake, Carvery roast dinner, Chai Latte, Chai Latte Van Sml, Champagne Bt, Cheese Burger and Fries 21, Chef Special Dish, Chicken Korma, Chicken Salad Sandwich, Choc Box Brownie Cookie, Chocolate, Chocolate Fudge Cake, Club Slimline Tonic Water 125ml, Coca Cola Classic 330ml Can, Coffee, Confectionary, Confectionary Bag, Corona, Costa Med Xmas Hot Choc, Crabbies Wild Berry, Cream Cake, Cream and Marshmallows, Dash Lemonade, Decaf Tea, Diet Coke, Doritos Cool, Double Esspreso, Eat Real Crisps Creamy Dill , Eat Real Tomato & Garlic, Extra Alcohol Shot, Extra Cream, Extra Shot, FEVERTREE, FT Ginger Ale, FTree Lemon, Fever Tree Tonic Water, Fever-Tree Elderflower 220ml, Fevere Tree Ginger Ale, Founders Stone White Zinfandel 125ml, French fries, Fresh Fruit Salad, Frostino Large , Fruit Shoot LC, GF Chicken & Bacon Salad Sandwich, GIANT BAR ALMOND, Gin and Tonic Can, Gingerbread Latte MED, Gnocchi, Halloween Show Yo 2 4 �10, Hash Brown, Hash Browns, Hash brown, Herbal Tea 8oz, Hoisin Duck Wrap, Home from home, Homemade Cake - Toffee, Honey Rum 50cl, Hospitality Food, Hot Chocolate Reg, Hot Chocolate Regular, Hot Dessert & Custard, Iced Latte 12oz, Iced Mocha Grande, Individual pizza, JAGERMEISTER, JJ Whitley Vodka 25ML, Jack & Gina Zinfandel Ros?, Jim Beam Oak Dbl, Juicy Water - Raspberry & Blackcurrant , Keralan Cauli, Kids - Cheese Burger, Kind bar, Kinder Bueno White, KitKat Chunky, LT Sundry £1.50, Larios Rose 25ml, Latte Regular, Lentil & Coriander Soup, Les Lunelus Bottle, Lg Coffee Frostino, Lucozade sport low cal orange, MARTELL 25ML, Malibu 50ML, McCoys, Mints, Mocha 8oz, Mocha Costa Massimo, Moroccan Mint Tea, Muffins, Muller Rice, Muller rice apple, Murphys Big River Chardonnay, Mushrooms, NCFC Cup, NW B49 Saint Marguerite, Nakd Blueberry Muffin, New Yorker On Granary Loaf, Oban Whiskey 25ml, Ok to Serve, Omelette 3 Fillings HO, Omelette Filling 3, Orange Cordial Dash, Other Soft 330ml Can, Rasp & Almond Frangipane, Red Wine, Retail Meal Deal, Ribena Sparkling Blackcurrent 500ml BTL, Rio Tropical Can, Roast Beef & Spinach Bap , Roasted Veg, Roasted Vegetable Stew, Rubicon Bottles, SHOT CORDIAL / SODA £1.00, SOMERSBY CIDER CAN, Salad Bar Medium, Sausage, Sausage, Chips & Beans, Schweppes Lemonade Half, Selection of Cakes, Shiraz 250 ml, Side Salad, Sides, Single Serve Cup White, Single Vodka Red Bull S/F, Small BTL Red Wine, Small Glass of Wine, Smirnoff Red Sgl, Smirnoff Single, Soap Holder Box, Soup Regular & Bread Roll, Soup Simple HOL, Sparkling Life Water 330ml, Speciality Tea, Spinach & Falafel Burger, Staff Discount, Still Water 500ml, Straight, Strathmore - Sparkling 500ml, Sweet Ideas Classic Wine Gums, Sweet Ideas VEGAN Fizzy Gummy Bears, T2SleepTight, TANGO ORANGE, TGRoseShimmer4g, THE BOTANIST GIN, Tandoori Chicken on a bed of Rocket in a flatbread, Tanq 10 Sgl, Tayto Bistro C/O, Tea, Tea FREE, Teriyaki Salmon & Tempura Rice, The Ibex Burger & Chips., Tiffin Cake Slice, Tiffin G £3.30, Toffee Crisp, Tomatoes, Tuna & Cucumber Granary Bakers Roll, VEGAN Fizzy Giant Strawberries , Van Sausage Roll Lotus, Veg Lasagna, Walkers Cheese & Onion 32g, Walkers Salt & Vinegar 32.5g, Whippy Waffle Cone, Xambuxo, Yogurt pot + granola £2, ZZZ BBQ Chicken, ZZZ StroopWaffle, Zapa Malbec Bottle, cake 3 £2.20, hot dish 2.35, oh so chocolate chunk muffin, with Curry Sauce"
2,BLT,"""Premium"" Colour A2, % Kopparberg  Cider, *Marmalade, 1/2 Pint of Guinness, 12oz Mocha, 750ml Veuve Vintage, 8OZ Choc Doughnut, Alpen Strawberry & Yoghurt, Anuela Merlot 'Colchagua Valley' , BLT, CM White Run 25ml, CRISP Premium Crisps, Cad Eclairs, Captain Morgan Dark, Cheddar Pot, Chickpea & Roast Pepper Stew, Chiltern Voucher MAX £10, Chips, Chips Portion, Chocolate Raisins , CifUltKitchen, Classic Ham Salad, Cofresh Peri Peri Grills 20g, Coke Can, Coke Zero (330ml), ColMustard150g, Corned beef with egg, Costa Rudolph biscuit, Croissant, Curry Sauce, Dairy Milk, Dead Mans Finger Hazlenut 50ml, Deli Style Pastrami Challah Rolls, Deliciousideas Chocolate & Orange Flapjack, Development Main I, Diet Can of Juice, Diet Coke 500ml, Diet Pepsi Pint, Diet Pepsi Pt, Disaranno 50ml , Divine Dark Chocolate, Doritos, Doritos Chilli Heatwave, ESPRESSO, Earl Grey, Eat Real Crisps, Eat Real Hummus Sea Salt, Extra Mushroom, Extra Shot of Espresso, Fajita, Fanta Orange Zero 330ml, Filled Wrap, Fish Portion, Founders Stone Chardonnay 175ml, Fridge Raiders 50g, Fries, Fruit Juice, Fruit Pot , Funtime Chocolate Flavoured Milk, G Caramel Macchiato , Galaxy Choc, Gammon Steak., Go ahead apple & sultana, Grande Iced Cafe Mocha , Gravy Side Order, Graze Salt and Pepper, Green Fingers Family Granola, Greene King IPA - Gluten Free, Grenache Merlot Roc d'Opale 175ml, Guest Pie , Guinness Pint, Hash brown, Hot Water 12 OZ, Hula hoops original 34g, Iced Cappuccino medium , J20 - Orang& Passion, J20 Apple & Raspberry, Jacket Potato, Juicy Water Raspberry, KIDS Apple & Cinnamon Pie , Kahlua Dbl, Kahlua Sgl, Karma Cola SF, Kids Apron (m), Kit Kat 4 Finger, KnorOrganStock, Kraken Rum & Cola Mixer 225ml, Kronenbourg Pint, M Strawberry , M&Ms plain , Malibu, Mallow & Marsh, Marmite, Marybake, Meat of the Day & Salad, Medio Caramel Syrup 4 Pumps, Melitzanosalata Portion, Mentos fruit 38g, Meringue, Milkshake, Mini Jam Jar, MiniShampoo50ml, Mints, Nice Red Wine (187ml), Oasis Citrus, Open Price, P Star Martini, PAMPERO, Pain Au Choc Hobbs Cold, Passion Punch Pitcher, Pepperoni Pizza, Picnic 44.4g, Pinot Grigio 175ml Gls, Pizza Meal, Polyester Elgin, Primo Cappuccino, Raspberry Jam Portion, Real Crisp Salt & Vinegar, Real Hand Cooked Sweet Chilli Crisps 35g, Resident Sunday Carvery 1 Course, Roast Dinner, Rock melon slice, Russian Standard, S/P Orange Juice , SP Mush 28g, Sandwich C, Sausage & Chips, Seasonal Coffee, SimpleEyeRemPot, Smirnoff Green Apple 50ml, Smoked Ham, Cheddar & Pickle, Soda 150ml Can, Something for the weekend - £0.75, Soup of the day SS, Spanish Omelette, Special Mains, Staff Deal- CON, Strongbow Dark Fruits Pint, SureAPWInvis150ml, Syrups shot, Van Kit Kat Public, Vegan Pasty, Vegetarian Sausages (v), Veggie Meal, W Fries Portion, WN GFruit Sgl, WN Orange Sgl, Wainwrights - Pint, Walkers Max Paprika, Watermelon, White Sugar Sachets x1, Yoghurt Pot , ZZZ Halloween Muffins, ZZZ WP - GF Orange Choc , mens - womens razors , oasis citrus 500ml, sandwich £1.40, £10 Replica Kit Adult"
3,MOCHA,"*Fruit Salad/Grapes Pot, 18.Imperativo Prosecco Bottle, 3 Bacon baguette, 50% Discount, 7up Sugar Free PET, 8oz Sirloin Steak, 9 Item Breakfast, BTL Inspiral Pinot Grigio, Bacon potato skins, Baguette £2.50, Beef Soy Ginger, Beetroot Kale Goats, Bollywood Vegetarian Panini, Bovril, Box Salad B, British Pork Sausage, Btl - Leone Rosso, Bulleit Bourbon, Burger Sauce, Burrito Bowl , D Latte, DEER BURGER + SIDES, Dark Fruits PINT, Development voucher £10, Dom Pink 750ml, Doritos, Espresso - single, Espresso Single, Expresso, FF Yoghurt Peanut & Raisins, Fiore Di Vigna Primitivo, Fish BBQ, Flat White, Founders Stone White Zinfandel Btl, Fruit Pot £2.00, Fruit shoot orange, Garlic Pizza Bread, Garlic Slice, Giant Yorkshire with Pork Sausage, Grab Bag Salt Vinegar, IRN BRU PET , Kit Kat / Bounty bar, Kraken Dbl, Lemon Drizzle Slice, Lemonade dash, Lemonaid, Lemony lemonade, Liptons Ice Tea Bottle, Little Treats Giant Bourbon (x14), Loaded Potato Skin, MOCHA, NW B07 Pannier, NW B22 Gavi, Nakd Bar, PET Water 500ml Spark, Perrier, Pier 42 Pinot Grigio Blush , Pilsen Thrills, Pimms & Lemonade , Pimms Jug, Pimms Small Jug, Pinotage, Porridge Pot , Posh Eggs, Potato & Spinach Tortilla (v), Potatoes/Rice, Princes Gate Sparkling, Quiche (2.00), Real Sea Salt, Red Wine BTL 8.50, Roast Beef & Yorkshire Pudding, SB Grande Fruit Tea, Salt Beef Bap, Sandwiches , Scrambled Egg, Single Serve White Wine 187ml, Skips , Small BTL Rose, Small Plates3 for £9, Soup & Roll 1.62, Soup and Roll, Soup/Roll, Special Dessert, Sprite Bottle, Squash & Tom, Staropramen Pint, Sweet & Salty Popcorn, Tea, Toast, Toasted Bagel , Tuna Sandwich, Twix 50g, Ufit small choc, VEG Starter , VEGGIE BURGER, Vegan 5 Item, Vegan Bolognaise Pasta, Vegan Sausage Roll, Vegetarian Sausage Bap, Volvic Strawberry, White Baguette , White Bread, Whitley Neil Strawberry & Black Pepper 50ml, Wild Berry Pink Gin 25ml, Wispa Gold, Womans Tee - Black 8, Wotsits cheese, ZZZEncore Free Entry , ZZZZ & PET 7UP Bottle, flap jack topped , il Folle Grillo 175ml, with Slimline 200ml"
4,Burger,"1/4 ROSE PROSECCO , 12oz XMAS CERAMIC MUG, 16oz OAT Hot Choc, 6"" Pizza, 8oz ALMOND , ALCO SLUSH 1/2 pint, Burger, CAPTAIN MORGAN'S SPICED SINGLE, Chips, Choc Twist DDF, Dbl Macchiato , Fish & Chips., GLASS PLATE salad, JACKET FILLING, JAM/MARMALADE PORTION 30p, JJ GH KK CARD £1.99, John Smiths Pint HAPPY, Kids Fish & Chips, Kids Mini Golf, LARGE LEMONADE , LATTE LARGE, LAURENT PERRIER ROSE , LG Mocha , LOMAS CARRERA 175ml, MANCHESTER GIN 25ML, Mocha 12oz, Oasis , PARACETAMOL 16, PERNOD, PLATED SALAD, POLO, Post Mix, RICH MERLOT 750ML PET, Rama Tinto 250ml, Risotto, SALMON & KING PRAWN SALAD, SMITHS CAN, SPARKLING WATER, STILL HGATE WATER 750ML, Scampi, Soda - 200ml, Soda 16oz, TAP 24 PACK, TEA, Tapioca, Tiffin E £2.80, Tonic 150ml Can, Twix , Upma"
5,YORKIE," Wagyu Beef سلطة الس, * Coconut Milk, 125ml - Chenin Blanc LB, 175ml Swartland Sauvignon, 5 Pack Twirl , 5p Cup Discount, 8oz Decaf Cappucino, Absolut Vodka Miniature, All Day Breakfast, Angel Bakehouse Dessert Pizza, Angel Bakehouse Veg Pizza, Annual Memb Comp Drink, B19 Gavi , B25 Pinot Noir Les Mougeottes, BBQ Chicken Burger, BF Sausage Sandwich, Bacon Bap, Bacon sandwich, Barkweave Cotton, Battered Fish & Chips, Between Thorns Chardonnay 175ml, Bitter Lemon 150ml Btl, Blackcurrant Cordial (1L), Blackcurrant Dash, Blenheim Sparkling (75cl), Bobby Horn's cider, Boston Brownie, Bread & Dips, Breakfast special 3.25, Britvic Tonic Water Can 150ml, Budweiser - Half Pint, Budweiser 330ml, Builder Chips, Burger, Fries, Pint £10, C-Bomb, CC Fruit Tea Medio, CD Dr Pepper Zero Bottle, CL Hoody Purple M, Cadbury Shortcake bisc, Cadburys Dairy Milk Fruit & Nut, Cafe Central 12oz Mocha, Callia, Malbec 125ml, Callia, Malbec 175ml, Capella Apple Juice, Cappuccino Large , Carling Black Fruit Half, Cave de Massé Colombard-Ugni Blanc , Caviar d'artichaut, Chai Latte, Cheese & Ham Turnover, Cheese Scone, Cheese/Tuna , Chefs Special main course only £3.75, Chenin Blanc 750ml BTL, Chicken & Mozza Panini, Chicken & Sweetcorn Baguette, Chicken Chilly Paratha, Chicken Nuggets, Chilli Nachos Sub - Garden Gourmet (Vg), Chipped Potatoes , Chips Portion (Side), Chocolate and Avacodo Muffin, Classic Cottage Pie, Coca Cola Zero can 33cc, Coconut Milk, Cod Goujons Brioche, Coke Medium, Cold Dessert, Coleslaw Pot, ComLaven1.26L, Cordial / Dash Mixer £0.30, Courvoisier VS 50ML, Cream of Cauliflower Soup 16oz, Crumpet, Dairy Milk Caramel, Deliciousideas Chocolate Tiffin Flapjack, Diet Coca Cola, Diet Coke 330ml, Disorano, FF Brazil Nuts, Firefly , Flat White 12oz, Floured Bap - Churchill, Food Discount, Fruit Pastilles, Fruit Pot, Full Scottish Veggie (LC), Galaxy, Garlic Bread, Gaviscon Peppermint Chewable Tablets 8's , General, Genuine Savory Bakes, Gordons Gin, Gordons Pink Gin, Gordons Pink Gin 25ML, Grab and Go sandwich Veg, Grilled Black Pudding, Grilled Tomato, Guinness Half Pint , Guinness Pint, HF Hot Pasta Pot, Half Bacon Baguette, Halloumi SS, Ham and Cheese Toastie , Hargold Poppy seed muffin, Haribos Star mix, Harro Blueberry 20cl, Hash Brown, HellmLTLJar400g, Honey/Muesli/Sultana Portion, Hot Bite SMALL, Hot Chocolate Large, Hot Filling, House White 125Ml , Hummus Pots SS, Jack Daniel's, Jacket Potato +1 ?lling 1 side, Jameson Whisky, Johnsons Baby Powder, LB Caramel Fruit & Seed, Le Serin White 175ml, Lemon Meringue, Lemonade 16oz , Little Beauty Pinot Noir, Loaf Cake, Los Tilos Sauvignon Blanc, Loyalty Filter Coffee, Lucozade Pink Lemonade, Lucozade energy orange 380ml, MB Triple Choc Cookie, Maltesers, Maltsmiths Bavarian Pils Half (+Eco cup), Marmite Portions, Mayonnaise Sachet, McCoys Cheddar, McCoys Crisps, Meat Topping, Mexican Chicken Tinga , Moroccan Mezze Salad V No Mayo, NW B14 Le Clocher, NW B44 Gevrey Pinot, Nutella Pot, PG Tips Tea, Pain au Chocolat, Panini - meat based, Panzanella Salad, Passoa Sgl, Pear, Penne Alfredo, Pepsi Max - 500ml, Pepsi Max Bottle, Pickerings Gin, Pierre Lacasse Cabernet 175ml, Pizza, Plain & Simple British Ham, Poo Bags, Popchips BBQ, Pork, Porridge, Porridge Bowl, Pot of Tea, Prawn Baguette, Primo Americano, Primo Mocha, Prosecco 125ml Glass, SSCajun45g, Salad Box, Salted Peanuts , Sandwiches & Baguettes 2.20, Sausage Sandwich, Shipyard IPA low Tide 500ml, Silver, Simply Tomato Soup, Smoothie, Snickers creamy peanut butter, Soho Classic Prawn Mayo Sandwich, Soup, Soup Takeout, Sourdough crumpets, Sparkling Water 330ml, Sparkling Water 500ml, Street Style Vegan , Sweet Potato, Sweet Potato Halves, Syrup Shot, Table Top Chocolate, Tanqueray 50ml , Tart Fruit cake, Tea Lrg, Tesco Smoked Ham & Cheddar Sandwich, Topped Muffin, Tribute Half, Truffle Chocolate, Tuna & Sweetcorn, Tuna Mayo Jacket HL, Tuna Mayo Value, Tuna Mayonnaise & Cucumber, Tunnocks Caramel Wafer, Turkey & Guest Meat., Tyrells Crisps, Underage, Vegan Scramble Tofu , Veganz Clean Protein Bar Peanut 45g, Vegetable Wellington, Vegetarian Main Course, Veggie Brunch, W Smashed Chana , Walkers Wotsits, Water, Whole Pizza, With Coleslaw, YORKIE, ZZZ Chicken & Bacon Salad, ZZZ Tuna Scorn Salad, aero chocolate, grenade dark choc mint, haddock fillet, sauce ptn"
6,Twix,"100g Bag, 4 Item Breakfast, APPLE (RED/GREEN), Aero, B29 Kooyong Massale, Baked Beans, Banana, Beef Madras, Book Soup, Bottle House Red, Bread Roll & Butter, Breakfast Meal Deal, CANSECCO, CC cheese and smoked ham bake, COURVOISIER SINGLE, Carvery Roll , Cheese & Ham Baguette, Cheese Burger, Cheese Dog, Chocolate Bar, Coca Cola ZS, Coca-cola - 500ml, Coke, Coke 150ml Can, Corkys Apple, Crumble Sunday , Double Espresso, Egg, Espresso Double, Espresso Solo, Foul Bel Khalta, GORDONS PINK 25ML, Gordons Lemon Sgl, Grape Pot , Gravy, Greek Yoghurt, Green Apple , Half Red Bull, Hand Held Snack £2.50, Havana 3yo Double 50ml, Hoppy Pale 3.8% ABV (330ml), Hot Chocolate Lg, Irn-Bru Xtra, J2O Orange, JACK DANIELS SINGLE, JD Sgl, Jacket Potato, Jagerbomb 2 for £5, Ketel One Peach & Orange 50ML, Large Hot Choc, Large Sausage Roll, Latte, Lotus Face Mask, MAC & CHEESE, MANGO AL-RABIE, MEDIUM KUKI SAUV BLANC, Magnum Almond Ice Cream, Makers Mark Bourbon, Mars SS, Meal Deal - Coffee & Pastry, Meat , Mega Breakfast, Mens ICN Polo - Blk/Gld M, Monster, Mushroom Goulash, Mushrooms , OMJ Can, Ocado Products 50p, Orange Roasted Pork Chop, Ovo Rocks 70g, Peanut Butter & Dark Chocolate KIND Bar, Popcorn Mayka BIO, Puttanesca Pasta (v) HO, RED BULL ENERGY DRINK SUGAR FREE 250ML, RaHWRefres250ml, Radnor SMALL, Red Bull, Red Bull Can, Romeo Prosecco, SOHO Product £2.75, SUGAR FREE RED BULL, Salad Bar Large, Salad Bar Small, Sausage Bap, Scone & Jam, Self Serve Yoghurt, Shortcross 35ml, Soup & Roll, Twix, VasCocoa20g, Vet Bed, Vodka RB Sgl, Wafer , Wrap, YORKSHIRE CHEESE CRISPS, Yoghurt Flapjack, fever treeLemonade - glass 200ml , £1 Eco Cup, £4.00 Real Deal "
