,Exemplar,Cluster
39,Gordons Pink 35ml,"Beefeater Pink Gin 25ml, Cotswolds Whisky 25ml, Courvoisier XO 25ml, Full Fat Milk 320ml, Gordan's Pink Gin 25ml, Gordons 35ml, Gordons Pink 35ml, Gordons Pink Dbl, Gordons Pink Gin, Jack Daniels Fire 25ml, Mozzo Pod Pink/Gold, Sipsmiths Gin 25ml, Torrontes 125ml, Yorkie Bar Milk Choc"
40,Orange Juice With Bits,"Innocent Orange Juice Wth Bits, Orange Juice With Bits, Overnight Oats with Berry"
41,Sweet Jacket Potato,"1 x Roasted Tomato, 3 Fillings Jacket Potato, Sweet Idea - Flapjack, Sweet Jacket Potato"
42,Creamy Potato & Spinach Soup 12oz,Creamy Potato & Spinach Soup 12oz
43,16oz Latte,"12oz Latte, 16oz Latte, 16oz WHOLE Latte, Anne Lister, B15 Bolney Estate, BTC Latte PL, Bacon Baguette, Cafe Latte, Go Large, Small Latte"
44,Becks Blue Retail,"Becks Blue 275ml, Becks Blue Retail, Ben Shaws Cloudy Lemonade, Bombay Blush Pitcher"
45,Caramel Macchiato,"12oz Decaf Macchiato , Caramel Macchiato, Monster Munch Mega, Primo Macchiato, Supreme Meal Deal , Venti Caramel Macchiato"
46,Chocolate orange flapjack Delicious ideas,Chocolate orange flapjack Delicious ideas
47,Soup of the day,"Chef?s Pie of the Day , Coffee Staff Raceday, Cookie of the Day, Dessert of the day, Logo Beanie Hat, Saj Of the Day, Soup of the day, Sourz Cherry 25ML, Strongbow Cloudy, cafe - Cake of the day"
48,Eat Natural Blueberry & Cashews,Eat Natural Blueberry & Cashews
49,CLOUDY BAY PINOT NOIR BTL,CLOUDY BAY PINOT NOIR BTL
50,juice burst orange juice 500ml,juice burst orange juice 500ml
51,Fanta Fruit Btl,"Alpen Fruit & Nut, Capt Morgan Dbl, Costa Fruit & Oat Biscuits, Fanta Fruit Btl, Fanta Fruit Twist Zero BTL, Fanta Lemon BTL, Fanta Orange, Fanta Orange Zero BTL, Fresh Fruit HO, Oasis Summer Fruits 500ml, Santa Luz Merlot Btl, Tesco Brazil Nuts, Tuffolo Gavi Docg  Btl"
52,Gunn Club Ham & Pickle Baguette,Gunn Club Ham & Pickle Baguette
53,Mocha,"7UP SS, Avocado, BOVRIL, Cordials , Corona, Crunchie, Go Ahead, Grande Mocha, LRG Mocha, MAIN, MALIBU, Macchiato, Matcha, Medio Mocha , Moccha R, Mocha, Mocha 9oz, Mocha Lrg, Mushroom, No ID, Popcorn , Ribena, Tomato, wispa , £1.30"
54,Winter Stew w/ Crusty Bread,Winter Stew w/ Crusty Bread
55,M&S Hoisin No Duck Wrap,M&S Hoisin No Duck Wrap
56,Cristallina Ananas - Yoghurt ,"Cristallina Ananas - Yoghurt , Cristallina Vanille - Yoghurt "
57,INNOCENT GUAVA PINEAPPLE,INNOCENT GUAVA PINEAPPLE
58,Soho Simply British Ham Sandwich,Soho Simply British Ham Sandwich
59,Scrambled Egg,"Fried Egg, SauCranberr165g, Scrambled Egg, Steamed Rice, add Scramb Egg"
60,Cheese Pot,"Archers  50ML, Boneless Bites, Cheese & Tomato , Cheese (60g), Cheese Bagel, Cheese Croissant, Cheese Pot, Cheese Savoury, Cheese scone, Cheese/Egg Pot, Cheesecake, Cheesecake Pot, Chewing Gum, Chilli & Cheese Dog, Chilli Dog, Coleslaw Pot, Crows Nest food , Grape Pot , Nibble Pots, Veggie Pita, house 125ml "
61,Woodford Reserve Bourbon (50ml),Woodford Reserve Bourbon (50ml)
62,Quinoa Chilli & Lime,"Lentil - Chilli & Lemon, Quinoa Chilli & Lime, Suso Lemon & Lime"
63,RB302 - Tuna & Seasoned Mayonnaise with Salad,RB302 - Tuna & Seasoned Mayonnaise with Salad
64,Highland Shotbread Fingers,Highland Shotbread Fingers
65,SOHO Product £2.75,"HOT CHOCOLATE £2.50, SOHO Product £2.75, SOHO Product £4.30"
66,Soup,"3 Course, 3 dips, Avial, BLT, Coors , Doppio, Doughnut, EGG 80p, Egg, FUEL, Fruit, Gum, Polo, Salad, Skips , Snack, Soho C, Soup, Soup Bowl, Soy Egg, Squid, Syrup , Toast, Topping, £10"
67,Punta de Vista Cabernet Sauvignon,Punta de Vista Cabernet Sauvignon
68,8OZ Vegan Apricot Topped Yoghurt,8OZ Vegan Apricot Topped Yoghurt
69,KIDS Pizza & Chips,"1/2 Pizza & Fries, CONF Kit Kat Chunky, KIDS Pizza & Chips, Romana Pizza Parmigiana, Steak Pie & Chips"
