,Exemplar,Cluster
37,Pot of Breakfast Tea,"BTL Prosecco, Beans On Toast (ve), Beans on Toast, Breakfast Pot - Meat, Buttered Toast, Homemade Cake - Toffee, New Yorker on Granary Bakers Loaf , Pomme Bears, Pork Puffs, Pot of Breakfast Tea, Roast Pork"
38,Salted Caramel Brownie ,"BG301 - Severn & Wye Smoked Salmon & Lemon Dill Cr, BTL Rekorderlig Straw + Lime, Bacardi Single 25ml, Brewdog Nanny State Low ABV, BrownieVe SCaramel , Halloween Cider 4 Pack, I Can't Believe, Kind Bar Almond & Coconut, Real Sweet Chilli, Ribena Btl Strawberry, Salad Bar Medium, Salted Caramel Brownie , San Pellegrino Blood Orange Can, Shipyard IPA low Tide 500ml, Smartwater, Smirnoff + dash , Soho Smd Salmon Cucumber & Cream Cheese Sandwich, Sweet Chilli Noodle pot , Sweet Ideas Classic Wine Gums"
39,Juice Burst Orange ,"Angus Beef Burger, Costa Ginger Biscuit , Extra Jacket Fillings , Hunters Rice Bites 50 g, Inside Out Pint, Italian Pasta Bar Veggie HO, Jagermeister , Juice Burst Orange , Oasis Blackcurrant & Apple, Oasis citrus Light, Orange Juice Dash, Orange Juice With Bits, Soup BIO Vegan Jooti"
40,Chicken & Bacon Pie,"BBQ Chicken Panini No Mayo , Book AM Cooking in Provence, Cheese & Pickle, Chicken & Bacon Pie, Chicken Dijonnaise , Chicken/ Beef Nashif, PNChick114g, Snack Meal# Pie Chips & Beans, chicken & bacon panini"
41,Regular Americano,"Americano, Americano Large , Balsamic Vinegar, Elegance Sauvignon , Ginger Ale (mixer), Jambalya Rice, Kraken Rum Double, Luna Azul Sauvignon Blanc 175ml, Moong Amti Dal, NW B10 Argeo Prosecco Magnum, Ramen Bowl Veggie, Reg White Americano, Regular Americano, Rubicon Mango 330ml can, with Ginger Ale 200ml"
42,Green Tea,"B.L.T on Granary, ChariTea  Green, Green Tea, Korean Taco"
43,SOHO CORONATION CHICKEN,"CL207 CHICKEN & STUFFING , CONFECTIONERY, COOKIES, COORS CAN, DORITOS, GIMCRACK AFTERNOON TEA, HASH BROWN 60p, HONEY ROAST BELLY PORK, MONSTER COOKIE SPOTTY DOTTY, NO THANKS, PAIN CHOC, SOHO CORONATION CHICKEN, TONIC WATER 1L, WHITE COFFEE, WORTHI NGTONS, YORK - LIGHT TEA "
44,Chips ,"Add Cheese, Chilli Crisps, Chips, Chips , Crisps, Crisps 0.90, Fish Goujons & Chips, LRG Chips, Small Chips"
45,SUGAR FREE RED BULL,"LARGE SAUV BLANC, LUGAW, SEAFOOD DELI, SUGAR FREE RED BULL"
46,Minster Bottle,"69.Casa Vista Merlot Bottle, Areo Mint, B22 Lanya Merlot, Blue Moon, Energy Bites, MB Blueberry Muffin, Medio Blk Forest Frostino, Mentos Fruit, Minster Bottle, Minstrels, Monster energy Ultra Fiesta, NW B04 Moet Rose, OMJ Can Berry Blast, Oasis Berry Bottle"
47,MUMM ROSE BTL,"BARISTA DOUBLE ESPRESSO £2.10, BOTTLED FRUIT JUICES 40p, BUCKS FIZZ BTL , BULMERS RED BTL, FEVER TREE, MERLOT 0% BTL, MUMM BTL, MUMM ROSE BTL, SOURZ APPLE, SUB 2 TOP"
48,Hot Milk,"* Oat Milk, Almond Milk, Hot Deli F, Hot Milk, Hot Milk 8oz, Vit Hit"
49,Veg Panini,"Panini - Veg, Pecan Pie, Pigalle, Veg Panini, Vegan Main , Veggie Main Dish, Vinegar Portion"
50,Cheesecake Pot,"Cheese & Tomato, Cheese Jacket, Cheese of the Match, Cheesecake Pot, Costa Large mocha , Jacket Potato, Jacket potatoes, Lemon Cheesecake, Love cakes, Pasta & Cheese, Pasty- Chicken, Tissue Pack, coffee Cake"
