,Exemplar,Cluster
0,QUINOA,"*Bubble innocent, 125ml - Montepulciano, 16.Galanti Prosecco Bottle, 20%  Tap Social Discount, 20% Staff Discount, 250ml Jack Rabbit Zinfandel, 42. Lorosco Cab Sauv, 500ml Skimmed Milk, 61 deep half pint , 800g Roberts MWG Thick, B23 Rioja, BTL Sierra Creek White Zinf, BW Brunch 1 Course, Bacon, Bacon & Five Bean Soup 16oz, Bacon Bap, Baguette £3.95, Baileys Double, Baked Beans, Balocco Milk Vanilla Wafer, Bap, Bcurrant Cord Dash, Beavertown Bones half, Bfast Roll 1 item, Biscoff Crepe, Boehli Bag Mini Pretzels 100G, Boost Energy, Border Viennese Whirls, Bottle Beer, Bottle Diet Coke, Bread Roll, Breakfast Box, Breakfast Pizza Slice , British Crisps, Buzzer 16, CD Diet / Zero Can, CF Chicken & Stuffing SW, CF Wrap £3.45, Cable Crossing Shiraz 175ml, Cadbury Wispa Chocolate 36g, Cafe Latte Small, Cake from Bar STD, Cans, Cappuccino (S), Cappuccino 12oz, Cappucino Medium, Carlsberg Export, Cashless Balance Check, Charitea, Chateau Montrose, Cheese & Broccoli, Cheese & Tomato Bagel, Cheeseburger, Chicken & Mushroom, Chicken & Sweetcorn, Chicken Caesar Salad , Chicken Katsu Dipper, Chicken Tinga Burrito Bowl, Chickpea Harissa & Cheese Pittas (v), Children's meal, Chip Butty , Club Tonic Water 125ml, Coconut Milk 90ml, Coffee, Coffee of Week, Coke Regular, Coke Zero 330ml, Coke zero can, Compass Point Zinfandel, Coors Light Half, Cordial / Dash Mixer £0.30, Corn on the Cob, Corned Beef & pickle, Costa Latte , Courvoisier VS  25ML, Crawfords Rich Tea  300gm, Croissant, Danish Pastry/Croissant, Decaf Bfast Tea, Deli £4.50, Dessert Pot, Dessert Pots, Diet Coke (mixer), Diet Coke Dash, Doughnuts 3 for ?5.00, Drawstring Back Pack, Egg Salad SW, Egg Sandwich, Extra Shot, FEVERTREE, FR404 - Sunshine Fruit Salad, Fanta Lemon, Filter Coffee, Fish, Chips & Peas Meal Deal, Food - 10% Discount, Food Discount, Foul Masala, Frappe, Fresh Fruit, Fresh Fruit Juice LC, Fuze Tea Peach Bottle 400ml, GF Brownie, Garden peas, Garlic Bread With Cheese, Glenfiddich Sgl, Greek Yoghurt Compote, Guinness Half (+Eco cup), HF £3.70 panini, HM Sand Chicken Curry, Ham & Mustard, Ham Baguette, Hash Brown, Hayfever, Heineken 330ml, Hoodie, Hoola Hooch Can, Hot Chocolate Small, Hot Drink & Vegan pastry , Hot Pies, Hummus & mixed beans wrap, Hunters Mix Vegetable Chips 75 g, Hyke Botanical Rum 50ml, JV Blanc 250ml, Jack Daniels & Coke Cans 330ml, Jacket Spud 80p, Jamesons Double 50ml, Jean Julien Chardonnay, Juice Burst orange & Carrot 500ml, Jungbomb 3 for £5, Karak Tea, Karma Gingerella, Katsu Burger, Kootu Curry, Kp Mccoys Flame Grilled Steak, La Maglia Rosa Btl, Latte Lge, Lemon Posset, Loaf Cake, Lord & Lady Mug Set, Luis Felipe, Sauvignon Blanc 125ml, Main Meal 5.27, Mains Meal Deal, Maltesers Treat Size 68G, Mashed Potatoes, Massimo S/F Vanilla 5 Pumps , Massimo Tea, Meal Deal - Pizza with Fries & Can, Medio Latte, Metcalfes Skinny Cinema Sweet  Popcorn 20g, Mom's Hot Dog Bad Boy, Monster 1.60, Monster Mule, Monster Munch Flamin, Morning Deal, Moroccan Vegetable Tagine, Muffins, Panini, Panini - Veg, Pantene Shampoo 200ml, Passoa Sgl , Pasta Bar * Beef Stroganoff  w/ Garlic Bread, Pasta salad large, Pastries £1, Pea & Mint Risotto, Pepperoni Whole Pizza, Pinot Grigio Bt, Pint of Heverlee, Plain Kunafa , Plated Salad, Pokka Cookies and Cream, Popping Juice Boba, Porchetta , Potato Wedges, Potato pie with bacon, Printed Clothing (quoted), Prosecco glass, QUINOA, Radnor Splash 1, Radnor Splash Watermelon 330ml , Red Wine Bottle 750ml, Reg Mocha Disc, Regular Coconut Latte, Regular Tea 12oz, Rekorderlig Strawberry & Lime Half, Relentless can 500ml , Ribena, Ribena Cartons, Rose Wine Glass, Rubicon Spring Strawberry Kiwi, Rubocin lychee, S-Bomb S/F, S/B SyrupG/Bread, SB Frap Vanilla, Sambuca 25ml, San Pellegrino 330ml Can, Sausage, Sausage , Schwepps Tonic Water 125ml, Serrano ham & brie baguette, Shaker Hot Protein, Signature Sandwich £3.95, Sliced Meats for Salad, Slt Caramel Frostino - Medio, Smarties, Smirnoff Red 25ml, Smirnoff Vodka, Smirnoff Vodka 50ml, Soda & Lime , Soda Water 125ml, Soft Drink  pet 500 ml, Sourz Tropical, Sparking Water 750ml , Special Hotdog, Speciality Tea Fontanella 12oz, Spicy Wings, Springbourne Still Water 500ml Sportscap, Staff Hot Drink, Steak, Stowford Press Cider Half Pint, Sun Dried Tomatoes, Sunbite S, Swish Pina Colada , TG3DVol150ml, Tanqueray 50ml , Tarasamalata & pitta bread, Tea, Tea Coffee & Snack Bar, Tetley's Smoothflow Pint, Tia Maria 25ml, Tiffin Sandwich - C, Toasties, Toffee Crisp , Tomato & lentil Soup BK, Tuna Pot, Veg Main, Vegan Sausage, Vegan Tart, Vegetable Curry With Rice, Vegetarian Pasta Meal, Vit.Hit, W Kolkata Chicken , Walkers Standard Bag Ready Salted, Watermelon slice, Wax Cheese Large, Whipped Cream, Wicked Cake Carrot Cake, With Coleslaw, Women's Leggings S, Worthington Can, YES! Bars, Yazoo Strawberry, Yoghurt - Blueberry 85g, Yoghurt Pot, York London 70cl, ZZZ Curly Fries, ZZZ Healy and Gray W.Zinf 125ml (DNU), add English Muffin , as Top, bacon & cheese turnover , big biscuit, hula hoops S&V, oasis citrus 500ml, walkers, £1 Chocolate, £2.60"
1,WKD,"*Add on 1.30, 1 Fruit piece 1.10, 125ML MANCURA SAUVIGNON BLANC, 3 Item Bap, 4PT SAN Miguel jug, 7 Brothers Throw away (440ml), 7.Pommery Rose Bottle, 8OZ Mixed Melon Pot, 8oz Cappucino, Ad Hoc Payments (Textiles), Add - Meat Balls, Add Pepsi Max, Add belu 500ml, Adnams Ghost Ship Pint, AfricaStick50ml, AlBalSpooOrange, All butter shortbread, Almond Croissant, Amaretto 25ml, Americano, Americano Regular , Apple/Orange Juice, Appletiser , Arkle Ale Half, Aspalls Cyder 500ml Btl, Avocado, B02 Moet Brut Imp, BAILEYS 50ML, BBQ Sausage & Chips, Bacon, Bacon & sausage Baguette, Bagel , Bandana & Hair Bundle, Barket Movenpick Chocolate & Salted Caramel 165ml, Barm Cake , Beef fried rice with sweet soya sauce, Bells  25ML, Big Al's Rib Steak, Birra Moretti Half , Bitter Pint (IH), Boe Gin 25ml, Boiled egg, Bovril, Brandy 5cl Bottle, Breakfast Marmite Portions, CIROC APPLE SINGLE, COFFEE, COFFEE CUP, Cad Crunchie, Cake £2.65, Cappuccino 12oz, Capt Morgan Sp Sgl, Cawston press, Cell Count Half, Chana Palak, Cheddar Ploughman's on Granary V, Cheese, Cheese & Onion Crisps, Cheese & Onion Sandwich, Cheese & Onion Slice, Cheese Ploughmans Baguette, Chefs Special main course only £3.75, Cherry Coke Can 330ml, Chicken & Bacon Salad, Chicken Mayyoniase Sandwich, Chicken and Bacon, Choc Orange Brownie, Chocoholic cake bars (sweet Ideas), Chocolate Muffin, Cinnamon Classics, Coca Cola Classic 500ml BTL, Coconut Milk 80ml, Coke Zero 330 ml, ConProAge200ml, Confectionary 90p, Confectionery 1.00, Coors Light Pint HAPPY, Coriander Lime Chicken Tiger Tin Bread, Coronation Chicken sandwich  , Croissant Zaatar , East Coast Bottle, Eat Real Quinoa Chips, Edinburgh Rhubarb 50ML, Egg Bap, Egg Mayo Baguette, FONTANELLA Re-usable Cup 15p discount, FRAPPE 12oz Cream , False Bay Chenin Blanc 125ml, Fanta Orange, Faulty, Fentimans Elderflower, Fever Tree Ginger Ale (200ml), Fever Tree Ginger Beer, Filled Croissant, Five Bean Veg Chilli (v), Five Item Breakfast, Franklin & Sons Lemonade , Fresh Pastry, Fried Egg, Frobishers Apple Juice, Fruit Pastilles, Fruit Salad , Fuel Milk, Garlic & Coriander Naan Bread, Gin & Tonic 250ml, Gingerbread Latte SM, Gluten Free , Gluten Free Flapjack Apricot & Almond, Go Ahead, Granola Pot , Gravy, Green Thai Curry, Grey Goose 50ml, HAVANA CLUB 25ML, Half  Birra Moretti, Ham, Ham Salad Bap, Hargold Fruit Flapjack, Harro Blueberry 20cl, Hawaiian, Heineken, Heineken Half Pint, Heinz Tomato Soup, HellmansReal800, Helmsman Chardonnay 250ml, Herbal Tea, Homemade Boxed Salads, Honey Portion, Hooky Pale Ale Half, Hot Chocolate, Hot Chocolate 20oz, Hot Chocolate Lrg, Hot Lunch Pot, Hot Pies, Hot Pudding & Custard, Ice Bag, Iced Cappuccino Medium, Isasa verdejo, J20 Apple & Mango, Jacket Potato & Butter, Jacket Potato & Side Salad , Jacket Potato Cheese & Beans , Jacket Potato Filling, Jelly Pot, Juice'd Berry Good, Juiceburst Apple 330ml, LBP Lotion100ml, LBPShampoo100ml, LOMAS CARRERA MERLOT RESERVE, La Fleur Cecile Rose (House) 175ml, Latte 12oz, Latte 9oz, Lilt Zero Pineapple & Grape 330ml, Lily Fresh Mangosteen , Lipton Mango Iced Tea, Lipton Raspberry Iced Tea, Liquorice Allsorts, Loaded Smash Fries, London Crisps, Lucozade Energy Original 380ml, Lucozade Orange, Lucozade orange, Lychee, Main Meal 1.70, Main Meat Option, Malbec - Large Glass, Mallows & Cream, MateyMaxBB500ml, Medievo Rioja Crianza , Mens ICN Tee - Blk/Gld M, Mens Tee - Green L, Metcalfe's Milk Choc, Metcalfs Yoghurt Ricecake, Michel Orange Passion  PET 33cl, Monster Green, Muffin Lemon, NOC Yorkshire Pudding , Nakd Banana Bread, Nobby's dry roasted peanuts, Noughty Bear 0.5, Oasis Sugar Free 500ml , Oasis Summer Fruits, Oasis Summer Fruits Zero 500ml, Octopus Toy, Opera cake, Orange, Orange Juice, Orange Juice , PAN AU CHOC £1.85, PEPSI MAX 1/2 PINT, Panini Gold, Pannini, Peaky Blinders Gold 500ml, Pepsi, Personal touch, Pick up choco, Pineapple Pot, Pinot Grigio Ponte di Piave, Playlist Sauv PET, Poached Egg, Poached egg, Popchips Sea Salt 23g, Popcorn, Poppadom, Potato, Pre Made Baguette , PriceZap Porridge/OJ, Pringles Original 40g, Prosecco - Bottle (Large), Purdeys Silver , Pure Cheddonism with Carmelised Onion Chutney, Radnor, Real Hand Cooked Crisps Sea Salt 35g, Red Bull, Red Bull Tropical, Ribena, Rice Bowl Chicken Large, Rice Hudds1, Roasted Indian Cauliflower, Roasted Pepper & Sweet Potato Pasta, Roasted Vegetable Chilli Lasagne, Rolls, Rubicon Carton 330ml, Rubicon sparkling passionfruit 330ml, SAN GIORGIO PINOT GRIGIO 175ml, SMIRNOFF 25ML, SMITHS HALF, SOHO £3.50, Salad Main, Salted Nuts, San Benedetto can, Sandwich 2.85, Sangiovese - Terre Allegre, Sausage, bacon, egg Bap, Sauvignon Blanc Bt, Scrambled Egg, Sea Change Pinot Grigio 750ml Bottle, Serrano Ham, Shrimp with quail eggs stew, Signature/ wrap, Simply Bacon Rustic Roll No Mayo, Simply ham sandwich, Skimmed Milk 300ml, Slice Margherita , Small Jelly Pot, Smirnoff Green Apple 50ml, Sml Iced Americano, Soho Smd Salmon Cucumber & Cream Cheese Sandwich, Soup, Sourz Pass Sgl, Soya Milk 220ml, Spicy potato mushakan, Stella 330ml LC, Sticky Ginger Pudd, Sugar Curls, Sweet Chili Chicken, Sweet Ideas £1, TUNA POT, Tall Iced Chai Tea, TartareSauc144g, Te, Tea & Croissant, Tea 0.30, Teacake, Tempranillo Bottle, Tenzing, Toast, Toast & Spread, Toblerone milk chocolate 50g, Tomato & Mozzarella (LC), Tonic 16oz, Traditional Beef Pasty, Tray Bake / Flap Jack, Traybake, Treacle Toffee Apple Tulip Muffin, Tuna Mayonaise & Cucumber Sandwich, Tuna Sweetcorn Sandwich, TyrellsCheddar, Upgrade Meal, V MOCHA, VM2: CHF 11.50 - 15.20, Veg Omelette , Veg/Quron Burger (£1.90), Vegan Sausage Roll, Vegetarian- Main, WKD, Yes Bar, ZZZEncore £4, chunky kit kat peanut butter , fresh fruit"
2,Food,"125ML SANTA ALEGRA CHARDONNAY, 175ml - Riesling Wach Aten, 1800 Cnut Teq Sgl, 3 Little Pigs, 5 item Breakfast, 500ML OASIS, 75CL MANCURA SAUVIGNON BLANC, ACACIA TREE CHENIN BLANC BTL, ASSTD. CHOCOLATE, Beans, Becks Blue, Belgian Waffles, Berkshire Gin, Buzzer 13, CANADA DRY GLASS, CD ZERO £0.75, CH Petit Pain , CHEESE MANAKISH, CHICKEN Starter , CHIPS, CHOCOLATE CHIP COOKIES, Cake 1.50, Caramilk, Cask 2 (4-5%) Pint, Cheese, Cheese Straw, Chip Butty , Chips, D&G Grapefruit Ting (330ml), DASH LIME CORDIAL, DORITOS CRISPS £1.20, Dairy Milk, Decante Still Water 25cl, Delias Steak Supplement, Duck Mince 454g, Elise 25th Print, Food, Guinness Half, Guinness Half Pint, HONEY ROAST BELLY PORK, HOT CHOCOLATE MEDIUM, Ham & Cheese, Heineken  (Half), Heineken Pint, Hunters Veg Snap peas Chips 50 g, Irn Bru can, JUICEBURST APPLE FAIRTRADE 500ML, Jack Daniels , Jack Daniels 25ml, Jacket Meal, KAHLUA DOUBLE, Kentish Pip Can, Kraken 50ML, LARGE SAUV BLANC, LAURENT PERRIER ROSE , MAIN COURSE W/SALAD, MAINS AWAY, MUSHY PEAS, Main Meal 1, Main Meal 3.20, Main meal 10.25, Malibu, Manakish Cheese & Zaatar, Mannie Cheese Burger, Mars, Meal Deal 2.40, Meat Pies, Menu A (Min x 10), Muffin Omelette , NEW ITEM, NUTRI BARS £1.50, OLD MOUT 0% BTL , OVERNIGHT OATS £1.85, Open price, Orange Juice, PLAIN JACKET £2.00, PLATED SALAD, PROMO - MEAL DEAL, Panini - Chicken Arabiatta, Panini £3.25, Paratha with chicken Tikka, Pasta Large , Pastel De Nata, Pepsi, Pizza Slice STD, Pringles Salt & Vinegar 40g, RED BULL ENERGY DRINK SUGAR FREE 250ML, REMY MARTIN VSOP , Raspberry, SMALL CHIARO PINOT, SMALL EL MURO BLANCO, SOHO CHEDDAR PLOUGHMANS, SOHO PLAIN HAM, SOURZ APPLE, SPECIAL BOTTLES SOFT DRINK £2.00, SPRITE CAN, STILL/SPARKLING WATER CAN 95p, STRAWBEERY DAQUIRI, Salt & Vin, Sausage & Egg Bap, Shape Shifter Can, Shikh Kabab Masala, Snack!, Snickers, Spark 500ml, Sparkling Water PET 50cl, Syrup, Taittinger, Tea Small, Teacake, Tequila 25ml, Thai Green Vegan Vegetable Curry, Tuna Melt, Twirl, W21. Chablis, WALKERS BAKED, WHITLEY ORGINAL 25ML, Wainwright, White Wine 178ml, Whitley Neil Strawberry & Black Pepper 25ml, Wine Gums, ZZZZMackies Angus Beef, ZZZZMackies Sea Salt, small latte , £2.50 Wrap"
3,£3.50," Sanded Buff Stoneware, 'A' sauvingnon blanc Rose, * Potatoes HOL, * Roast Potatoes, * SF Vanilla Syrup, 1 ITEM ROLL (STAFF), 12oz Decaf Latte , 16oz Chai Latte, 2 ITEM BREAKFAST BAP, 4 Pack Boost, 8oz ALMOND , 8oz Decaf Latte , ADD Brown Roll, ADD Splash of Milk, ASPAL CIDER PINT, Add Tuna, Additional Tuna, All Day Breakfast, All Fanta, Americano 12oz, Amstel Shandy (Pint), Appletiser, Aubergine Schnitzel , B&B Latte 12oz, BEEF BURGER, BF Egg, BTL Coors, BTL GORDONS, BUTTERED COB, Bacon, Bacon & Cheese Bagel, Bacon & Egg Bap, Bacon & Egg Muffin, Bacon Bap, BaloccoWafer, Baluarte Roble, Beef stack & fries, Beef stew, Beet, avo, feta, Birra Moretti Shandy (Half), Black Cherry & Almond , Black Pudding, Black Pudding Scotch Egg, Boiled Egg Pot, Bonfire Evening FOC, Box Salad B, Bramley Apple Crumble, Bread Bun, Burger/ Hot Dog, C?tes du Rh?ne, Cuv?e St Laurent, CAPRI SUN, CF All Day Breakfast SW, CHICKEN NUGGETS, CHICKEN SALAD, COSTA M ICE LAT, CUSTARD Dessert , Cake C, Cake of the Day, Camden Hells Lager Half, Caramel Waffle, Cardiff Met Polo Shirt, Cereal & Milk , Champagne Afternoon Tea , Cheese & Onion Baguette, Cheese & Onion Pasty, Cheese & Onion Roll, Cheese & Onion Slice, Cheese & Tomato Panini, Cheese & Tomato Value, Cheese Cucumber, Chicken & Avocado Cob, Chicken & Bacon Baguette, Chicken Burger , Chicken Caesar Salad, Chicken Fajita with Roasted Peppers and Mature Che, Chip Butty , Chips , Chocolate, Chocolate Torsade, Cinnamon Swirl, Coca Cola, Coffee, Coke, Cola Flavoured Soft Drink, Coleslaw Pot, Cookie, Cookie Confec, Cordial Dash, Cordials , Cosmo, Credit Card Test , Croissant, DIET COKE DASH, Dairy Milk SS, Dash Lemonade BIB, Deliciousideas Chocolate Flapjack, Disaronno Amaretto, DomRimLavenderDuo, Doppio Espresso, Double Spirit & Mixer, EGG & ROCKET SANDWICH , EHU Lanyard, East Coast IPA Pint, Eat Real Crisps, Eat real lentil  chips , Egg & Spinach Pot, El Muro Blanco Macabeo  Btl, Espresso Double, Extra Hash Brown, Extra Shot, Fanta Pint, Feel Good Drink, Fever Tree Soda Water, Fish & Chips, Fish Cake, Flat White (S), Frankel Platter, Free Soya Porridge, Fresh Fruit Salad (Small), Fried Onions, Fruit Pastilles, Fruit Punch ( Cocktail), Funtime Chocolate Flavoured Milk, G Falafel Salad, G ICED DRINK, GRAPEFRUIT JUICE, Garlic bread bk, Giotto Pinot Grigio Bottle, Glass Fresh Orange, Gluten Free Apricot & Almond Flapjack, Gluten Free Sandwich, Goats Cheese & Balsamic Onion Panini, Gordons Dbl, Granini Tomato Juice , Grape Pot, Gravy, Grenade Bars, Guinness Half, HOT CHOCOLATE SMALL, Hair Comb, Half Ale, Harrogate Water Still, Healthyideas Taste Of The Tropics , Heineken Silver, Hot Water 8 OZ, Iced Cappuccino Small, Iced Macchiato Tall, Innocent juice, Italian Pasta Bar Meat, Jacket & Hot Filling, Jacket Pot Butter, Jacket Potato, Jacket Potato with Hot Filling - Chilli/Bolognese, Jagermeister, Juice'd Mango'n Crazy, Juicy Water - Orange & Lemon, Junior Breakfast Meal, KIDS Roast Beef, Kettle Chilli Crisps, Kids Meal Deal, Kind Bar, Kit Kat 4 Finger, Kit Kat Original, Kosa Mofrakha, Lager Black Half, Lamb Kadhi, Large Americano, Large Sausage Roll, Latte 9oz, Lentil Soup, Lentil Tomato & Basil, Lg Iced Latte, Lilt Pineapple & Grapefruit BTL, Lime Cordial (Dash), Lime cordial glass, Loacker Napolitaner, Lucozade Sport Orange, M&S Cheddar Cheese Ploughmans, MOET & CHANDON, Maccarons tart, Malteaser Sharing bag, Mango Yoghurt & Granola, Marstons Smooth Pint, Massimo Tea, McCoys Flame Grilled Steak, Meal Deal -  Pasta Pot & Still Water, Meat Fatayer, Meat Main, Meatball Inferno Wrap, Milk Bubble Tea, Mixed Tapas Platter, Mocha 12oz, Monster Drink, Moo-ving Mountain, Mozzarella & Mushroom Sourdough Toastie, NW B27 Rama Tinto, Nairn's GF Fruit Oat Biscuit Brakes, No ID, No Ice, No Sprinkles, Northern Star, OMJ Can, Ocado Damaged Products, Onion Rings, Open Price, Open Sandwich Price, Orange Juice Half, Organic Tea, PDQ Test button, PREMIUM PANINI, Park Honey 12oz, Pasta with Chicken, Patersons Jammy Shortbread, Plain, Popcorn Chicken Meal Deal, Poriddge with Shredded Carrot, Porridge , Porridge Large, Portion Veg, Pre-Paid Card Balance Check, Proper Popcorn, Propercorn Sweet & Salty , Prosecco Glass, R Cappuccino, REDBULL MIXER, Real Ale - Pint, Real Crisp Plain, Real Wrap F, Real crisps , Red pepper & Tomato Soup, Regency Vegetarian Choice, S/P Cranberry Juice , SALMON TIGER PRAWN SALAD, SAN MIGUEL 2PINT, SELECTION OF NIBBLES, SMARTIES BAG, SML Flat White, Salad Upgrade, Salmon & cream cheese, Salted Caramel & Dark Chocolate KIND Bar, Sandwich Corner, Sandwiches, Sausage Roll, Sausage cob/ water or drink, Sauv Blanc Bottle Ventopuro , Scone, Scrambled Egg, Scrambled egg, Semi Skimmed Milk, Shaker Salad, Shortbread, Single Espresso GM, Small Bowl, Small Red Wine Bottle, Smoked Salmon & Cream Cheese on Granary, Soothers Cherry, Soup Large, Spinach Potato & Chick Pea Curry HO (v), Sprite, Staff Drink, Standard Hot Hand Held, Stella 4 Half Pint, Sticky Toffee Pudd, Strawberries & Cream, Sweet & Spicy Pakora on White, Sweet Ideas Caramel Fudge Flapjack  , Syrup, Syrup Shot, TANQUERAY DOUBLE, TILL DRAW OPEN, Tall Chai Tea, Tandoori Veg & Loaded Wedges, Tea Cake, Tea- Standard, The Rustic Classic , Tomatoes , Trebor Mints, Tuffolo Gavi Docg  Btl, Tuna Pot, Turkey Training Treats, Twix Winter Spice , Van Creamy Choc Public, VasOriginal4g, Vegan Pie, Vegetable Peshawari, Very Veggie, Veuve Clicquot Rose, WHOLE FRUIT  (Piece), Waipara Hills Pinot Noir, Walker Baked Prawn Cocktail, Walkers Cheese & Onion , Walkers Original Shortbread, Water, Water Bottle, White Chocolate & Strawberry Crepe, Whitley Rhubarb, World Pasta Day Vegetarian Main , ZZZ Loft Loaded Bowl , ZZZZOasis Blackcurrant & Apple, ZZZZZ Summer Down Under Half Pint, ZZZZZ Upgrade Pouilly Fume Brevin, Zinger Ginger, bk Vegan Sausage , can, cans, captain kombucha, cordial dash, £3.50"
